Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1972,1,,3.627,3.438,2.566,2.633,1.829,1.073,2.350,2.554,1.609,0.189,0.756,,,,11
1972,2,4.023,3.706,3.493,2.624,2.710,1.926,1.131,2.418,2.575,1.567,0.213,0.796,12.400,5.750,0.573,0
1972,3,3.929,3.612,3.432,2.618,2.679,1.926,1.277,2.445,2.335,1.506,0.180,0.649,12.400,5.950,0.722,0
1972,4,3.999,3.569,3.383,2.560,2.621,1.859,1.082,2.325,2.487,1.524,0.186,0.777,12.330,5.890,0.198,0
1972,5,3.770,3.569,3.319,2.454,2.518,1.719,0.805,2.187,2.764,1.600,0.250,0.914,12.240,5.820,-0.073,0
1972,6,3.914,3.652,3.386,2.499,2.582,1.777,0.796,2.224,2.856,1.609,0.265,0.981,0.010,5.790,-0.030,0
1972,7,3.859,3.630,3.389,2.509,2.579,1.765,0.908,2.269,2.722,1.625,0.241,0.856,0.040,5.810,0.067,0
1972,8,3.780,3.548,3.374,2.505,2.573,1.774,0.985,2.267,2.563,1.600,0.174,0.789,12.350,5.700,0.332,0
1972,9,3.694,3.453,3.338,2.493,2.554,1.768,1.039,2.246,2.414,1.570,0.116,0.728,12.300,5.700,0.509,0
1972,10,3.716,3.466,3.292,2.444,2.499,1.707,1.006,2.236,2.460,1.585,0.174,0.701,0.120,5.930,0.076,0
1972,11,3.962,3.725,3.444,2.566,2.633,1.826,0.978,2.352,2.747,1.618,0.280,0.847,12.350,5.970,-0.116,0
1972,12,4.340,3.816,3.545,2.640,2.734,1.923,0.917,2.365,2.899,1.622,0.271,1.006,0.080,5.810,0.171,0
1973,1,4.167,3.792,3.557,2.679,2.755,1.951,0.978,2.385,2.814,1.606,0.235,0.972,0.060,5.890,0.375,0
1973,2,3.908,3.633,3.444,2.585,2.661,1.878,1.103,2.368,2.530,1.567,0.189,0.774,12.380,5.800,0.500,0
1973,3,3.953,3.536,3.371,2.554,2.609,1.847,1.173,2.354,2.363,1.524,0.165,0.674,12.360,5.960,0.710,0
1973,4,3.459,3.335,3.133,2.313,2.359,1.585,0.902,2.119,2.433,1.548,0.201,0.683,12.230,5.830,0.162,0
1973,5,3.639,3.496,3.255,2.380,2.448,1.640,0.732,2.114,2.764,1.615,0.241,0.908,12.330,5.730,-0.085,0
1973,6,3.709,3.566,3.307,2.405,2.487,1.667,0.683,2.124,2.883,1.640,0.259,0.985,12.370,5.690,-0.229,0
1973,7,3.655,3.490,3.286,2.380,2.457,1.625,0.713,2.102,2.777,1.661,0.204,0.911,12.320,5.510,-0.159,0
1973,8,3.633,3.432,3.258,2.405,2.454,1.646,0.960,2.196,2.472,1.612,0.174,0.686,12.300,5.550,0.433,0
1973,9,3.572,3.371,3.228,2.402,2.429,1.631,1.036,2.204,2.335,1.597,0.143,0.594,12.270,5.670,0.795,0
1973,10,3.725,3.435,3.261,2.438,2.493,1.725,0.991,2.213,2.444,1.536,0.174,0.735,12.130,5.710,0.360,0
1973,11,4.197,3.752,3.472,2.612,2.676,1.884,1.009,2.381,2.743,1.588,0.280,0.875,12.210,5.900,0.360,0
1973,12,4.267,3.911,3.606,2.725,2.792,1.981,1.061,2.486,2.850,1.625,0.305,0.920,12.410,5.740,0.021,0
1974,1,4.456,3.773,3.499,2.612,2.691,1.884,1.030,2.402,2.743,1.615,0.274,0.853,0.280,5.860,-0.079,0
1974,2,4.084,3.636,3.444,2.585,2.652,1.856,1.091,2.365,2.545,1.588,0.192,0.765,12.380,5.640,0.076,0
1974,3,3.905,3.612,3.484,2.661,2.719,1.954,1.262,2.435,2.350,1.530,0.128,0.692,12.380,5.860,0.893,0
1974,4,3.935,3.548,3.356,2.536,2.585,1.814,1.109,2.329,2.438,1.542,0.192,0.704,12.300,5.840,0.451,0
1974,5,3.694,3.542,3.286,2.448,2.499,1.713,0.930,2.237,2.612,1.573,0.256,0.783,12.360,5.810,0.171,0
1974,6,3.746,3.603,3.341,2.463,2.533,1.731,0.802,2.201,2.801,1.615,0.262,0.924,12.390,5.620,0.049,0
1974,7,3.773,3.563,3.356,2.481,2.551,1.747,0.860,2.213,2.704,1.609,0.207,0.887,12.390,5.650,0.091,0
1974,8,3.655,3.447,3.286,2.441,2.493,1.701,0.969,2.207,2.478,1.585,0.162,0.732,12.300,5.610,0.347,0
1974,9,3.569,3.374,3.255,2.444,2.475,1.695,1.140,2.256,2.234,1.561,0.119,0.555,12.250,5.620,0.692,0
1974,10,3.505,3.368,3.213,2.393,2.426,1.637,0.978,2.173,2.390,1.576,0.155,0.658,12.210,5.650,0.442,0
1974,11,3.871,3.639,3.405,2.533,2.597,1.786,0.899,2.268,2.740,1.618,0.235,0.887,12.310,5.750,0.177,0
1974,12,4.087,3.770,3.478,2.563,2.643,1.804,0.826,2.298,2.944,1.673,0.293,0.978,12.360,5.650,-0.088,0
1975,1,4.182,3.661,3.402,2.512,2.582,1.762,0.911,2.286,2.749,1.640,0.259,0.850,12.360,5.980,0.110,0
1975,2,4.124,3.655,3.459,2.609,2.667,1.878,1.192,2.423,2.463,1.582,0.195,0.686,12.420,5.700,0.463,0
1975,3,3.923,3.536,3.380,2.551,2.600,1.817,1.198,2.365,2.338,1.564,0.155,0.619,12.330,5.670,0.503,0
1975,4,3.749,3.417,3.249,2.423,2.469,1.689,1.006,2.213,2.411,1.561,0.168,0.683,12.320,5.790,0.238,0
1975,5,3.725,3.463,3.213,2.374,2.429,1.643,0.844,2.152,2.618,1.570,0.250,0.799,12.250,5.730,0.079,0
1975,6,3.682,3.505,3.246,2.402,2.457,1.667,0.841,2.173,2.664,1.579,0.259,0.826,12.370,5.670,0.168,0
1975,7,3.798,3.514,3.280,2.438,2.496,1.710,0.930,2.222,2.585,1.570,0.235,0.780,12.370,5.560,0.235,0
1975,8,3.627,3.414,3.264,2.435,2.487,1.710,1.009,2.213,2.405,1.554,0.149,0.701,12.310,5.590,0.354,0
1975,9,3.652,3.313,3.219,2.393,2.429,1.640,1.049,2.182,2.265,1.579,0.094,0.591,12.220,5.590,0.543,0
1975,10,3.938,3.566,3.383,2.548,2.588,1.789,1.204,2.384,2.362,1.594,0.183,0.585,12.270,5.680,0.619,0
1975,11,,3.661,3.411,2.569,2.618,1.826,0.945,2.304,2.716,1.585,0.250,0.881,12.270,5.640,,13
1975,12,4.249,3.673,3.386,2.493,2.557,1.725,0.802,2.237,2.871,1.661,0.287,0.924,12.400,5.610,0.088,0
1976,1,3.886,3.603,3.377,2.496,2.563,1.750,0.887,2.243,2.716,1.628,0.226,0.863,12.380,5.610,0.073,0
1976,2,3.944,3.569,3.386,2.557,2.609,1.832,1.170,2.371,2.399,1.554,0.183,0.661,12.410,5.640,0.704,0
1976,3,3.859,3.423,3.267,2.466,2.499,1.731,1.241,2.332,2.182,1.536,0.155,0.491,12.320,5.710,0.759,0
1976,4,3.874,3.423,3.261,2.454,2.490,1.719,1.082,2.252,2.341,1.542,0.162,0.637,12.350,5.710,0.299,0
1976,5,3.664,3.481,3.243,2.399,2.438,1.637,0.853,2.167,2.627,1.606,0.238,0.783,12.330,5.730,-0.006,0
1976,6,3.712,3.536,3.274,2.411,2.469,1.664,0.811,2.173,2.725,1.609,0.262,0.853,12.320,5.630,0.082,0
1976,7,3.819,3.557,3.325,2.469,2.518,1.710,0.948,2.252,2.609,1.615,0.232,0.762,12.310,5.570,0.372,0
1976,8,3.728,3.472,3.301,2.469,2.505,1.710,1.076,2.274,2.396,1.591,0.171,0.634,12.420,5.540,0.597,0
1976,9,3.810,3.389,3.295,2.472,2.502,1.713,1.131,2.262,2.259,1.582,0.094,0.582,12.180,5.550,0.835,0
