Year,Month,Highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,Lowest,Inferred,Datum,nwlon_station_id
1901,1,6.187,5.861,5.563,4.368,4.38,3.197,2.225,4.043,3.636,2.365,0.299,0.972,0.52,6.65,1.554,0,STND,9447130
1901,2,6.035,5.745,5.453,4.282,4.289,3.124,2.362,4.053,3.383,2.329,0.293,0.762,0.43,6.59,1.768,0,STND,9447130
1901,3,6.126,5.602,5.413,4.258,4.249,3.082,2.435,4.019,3.167,2.332,0.189,0.646,0.49,6.71,1.798,0,STND,9447130
1901,4,5.883,5.492,5.297,4.142,4.127,2.957,2.268,3.88,3.224,2.341,0.195,0.689,0.46,6.69,1.372,0,STND,9447130
1901,5,6.005,5.697,5.386,4.221,4.212,3.036,2.201,3.949,3.496,2.35,0.311,0.835,0.5,6.71,1.219,0,STND,9447130
1901,6,5.944,5.678,5.346,4.179,4.176,3.002,2.1,3.889,3.578,2.344,0.332,0.902,0.51,6.67,1.128,0,STND,9447130
1901,7,5.822,5.605,5.361,4.173,4.182,3.005,2.155,3.88,3.45,2.356,0.244,0.85,0.5,6.62,1.341,0,STND,9447130
1901,8,5.913,5.544,5.331,4.185,4.157,2.987,2.295,3.92,3.249,2.344,0.213,0.692,0.4,6.58,1.646,0,STND,9447130
1901,9,5.913,5.529,5.404,4.221,4.212,3.018,2.463,3.996,3.066,2.387,0.125,0.555,0.41,6.62,1.92,0,STND,9447130
1901,10,6.005,5.538,5.371,4.185,4.182,2.996,2.316,3.927,3.222,2.374,0.168,0.68,0.36,6.61,1.372,0,STND,9447130
1901,11,6.279,5.803,5.508,4.319,4.322,3.136,2.268,4.035,3.535,2.371,0.296,0.869,0.45,6.68,1.402,0,STND,9447130
1901,12,6.37,5.761,5.441,4.249,4.255,3.072,2.079,3.92,3.682,2.368,0.32,0.994,0.48,6.65,1.067,0,STND,9447130
1902,1,6.005,5.721,5.438,4.249,4.255,3.069,2.082,3.901,3.639,2.368,0.283,0.988,0.51,6.61,1.402,0,STND,9447130
1902,2,6.187,5.831,5.624,4.447,4.456,3.292,2.536,4.184,3.295,2.332,0.207,0.756,0.5,6.68,2.012,0,STND,9447130
1902,3,6.035,5.617,5.465,4.319,4.313,3.161,2.545,4.081,3.072,2.304,0.152,0.616,0.43,6.7,1.981,0,STND,9447130
1902,4,6.005,5.599,5.386,4.221,4.215,3.042,2.368,3.984,3.231,2.344,0.213,0.674,0.41,6.7,1.524,0,STND,9447130
1902,5,5.913,5.703,5.41,4.24,4.228,3.042,2.219,3.961,3.484,2.368,0.293,0.823,0.43,6.67,1.341,0,STND,9447130
1902,6,5.944,5.709,5.398,4.209,4.2,3.002,2.088,3.898,3.621,2.396,0.311,0.914,0.42,6.61,1.158,0,STND,9447130
1902,7,5.883,5.694,5.416,4.212,4.212,3.005,2.155,3.925,3.539,2.411,0.277,0.85,0.46,6.6,1.219,0,STND,9447130
1902,8,5.883,5.624,5.432,4.225,4.225,3.014,2.32,3.972,3.304,2.417,0.192,0.695,0.44,6.63,1.402,0,STND,9447130
1902,9,5.852,5.529,5.398,4.209,4.194,2.99,2.451,3.99,3.078,2.408,0.131,0.539,0.39,6.65,1.89,0,STND,9447130
1902,10,5.944,5.639,5.459,4.276,4.267,3.075,2.493,4.066,3.146,2.384,0.18,0.582,0.43,6.7,1.768,0,STND,9447130
1902,11,6.34,5.864,5.547,4.371,4.368,3.191,2.38,4.122,3.484,2.356,0.317,0.811,0.47,6.68,1.707,0,STND,9447130
1902,12,6.248,5.962,5.621,4.432,4.438,3.255,2.301,4.131,3.661,2.365,0.341,0.954,0.47,6.68,1.402,0,STND,9447130
1903,1,6.157,5.895,5.605,4.42,4.432,3.258,2.329,4.112,3.566,2.347,0.29,0.93,0.56,6.73,1.219,0,STND,9447130
1903,2,6.126,5.639,5.438,4.27,4.264,3.088,2.374,4.006,3.265,2.35,0.201,0.713,0.53,6.7,1.615,0,STND,9447130
1903,3,6.005,5.636,5.471,4.316,4.307,3.142,2.6,4.118,3.036,2.329,0.165,0.543,0.49,6.74,2.164,0,STND,9447130
1903,4,5.791,5.56,5.377,4.215,4.2,3.027,2.444,4.002,3.116,2.35,0.183,0.582,0.47,6.74,1.585,0,STND,9447130
1903,5,5.883,5.63,5.343,4.176,4.164,2.981,2.265,3.947,3.365,2.362,0.287,0.716,0.45,6.68,1.341,0,STND,9447130
1903,6,6.005,5.694,5.395,4.209,4.203,3.008,2.167,3.93,3.527,2.387,0.299,0.841,0.44,6.64,1.25,0,STND,9447130
