Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1904,11,6.279,5.931,5.624,4.438,4.426,3.231,2.408,4.170,3.523,2.393,0.308,0.823,0.510,6.740,1.554,0
1904,12,6.553,5.895,5.584,4.383,4.383,3.179,2.176,4.036,3.719,2.405,0.311,1.003,0.500,6.740,1.524,0
1905,1,6.370,5.880,5.590,4.398,4.398,3.206,2.259,4.069,3.621,2.384,0.290,0.948,0.500,6.660,1.554,0
1905,2,6.340,5.788,5.587,4.404,4.404,3.222,2.438,4.113,3.350,2.365,0.201,0.783,0.490,6.670,1.951,0
1905,3,6.279,5.776,5.587,4.420,4.407,3.231,2.606,4.191,3.170,2.356,0.189,0.625,0.450,6.710,2.286,0
1905,4,6.096,5.666,5.444,4.285,4.267,3.091,2.499,4.083,3.167,2.353,0.223,0.591,0.430,6.700,1.798,0
1905,5,5.913,5.715,5.407,4.243,4.225,3.045,2.289,4.002,3.426,2.362,0.308,0.756,0.460,6.710,1.402,0
1905,6,5.852,5.718,5.377,4.203,4.200,3.024,2.170,3.944,3.548,2.353,0.341,0.853,0.470,6.680,1.280,0
1905,7,5.944,5.709,5.401,4.221,4.225,3.045,2.198,3.954,3.511,2.356,0.308,0.847,0.460,6.640,1.494,0
1905,8,5.944,5.605,5.407,4.234,4.231,3.054,2.353,3.979,3.252,2.353,0.198,0.701,0.450,6.630,1.676,0
1905,9,5.944,5.544,5.428,4.252,4.240,3.051,2.512,4.028,3.032,2.377,0.116,0.539,0.380,6.630,2.164,0
1905,10,6.005,5.593,5.410,4.240,4.212,3.011,2.448,4.021,3.145,2.399,0.183,0.564,0.390,6.670,1.463,0
1905,11,6.126,5.749,5.465,4.279,4.270,3.075,2.298,4.024,3.451,2.390,0.283,0.777,0.460,6.710,1.372,0
1905,12,6.248,5.883,5.520,4.343,4.337,3.155,2.237,4.060,3.646,2.365,0.363,0.917,0.510,6.720,1.524,0
1906,1,6.431,5.895,5.535,4.398,4.380,3.225,2.246,4.071,3.649,2.310,0.360,0.978,0.520,6.680,1.615,0
1906,2,6.096,5.816,5.602,4.435,4.438,3.277,2.448,4.132,3.368,2.326,0.213,0.829,0.540,6.700,1.890,0
1906,3,5.974,5.688,5.520,4.365,4.356,3.191,2.560,4.124,3.128,2.329,0.168,0.631,0.490,6.690,2.103,0
1906,4,5.883,5.663,5.419,4.252,4.240,3.063,2.429,4.046,3.234,2.356,0.244,0.634,0.430,6.720,1.707,0
1906,5,5.974,5.764,5.450,4.273,4.268,3.085,2.316,4.040,3.448,2.365,0.314,0.768,0.440,6.720,1.433,0
1906,6,6.157,5.828,5.508,4.331,4.325,3.142,2.225,4.027,3.603,2.365,0.320,0.917,0.470,6.700,1.311,0
1906,7,5.974,5.736,5.450,4.255,4.255,3.057,2.137,3.936,3.599,2.393,0.287,0.920,0.460,6.630,1.189,0
1906,8,5.883,5.611,5.438,4.249,4.249,3.057,2.310,3.960,3.301,2.380,0.174,0.747,0.420,6.590,1.372,0
1906,9,5.822,5.514,5.383,4.203,4.200,3.014,2.414,3.964,3.100,2.368,0.131,0.600,0.390,6.640,1.737,0
1906,10,5.913,5.553,5.352,4.185,4.176,2.996,2.377,3.965,3.176,2.356,0.201,0.619,0.360,6.660,1.433,0
1906,11,6.035,5.779,5.441,4.282,4.279,3.115,2.323,4.051,3.456,2.326,0.338,0.792,0.420,6.650,1.158,0
1906,12,6.187,5.907,5.535,4.377,4.377,3.222,2.259,4.083,3.648,2.313,0.372,0.963,0.510,6.670,1.189,0
1907,1,6.309,5.880,5.557,4.377,4.389,3.219,2.219,4.050,3.661,2.338,0.323,1.000,0.520,6.660,1.158,0
1907,2,6.157,5.730,5.517,4.349,4.353,3.191,2.353,4.042,3.377,2.326,0.213,0.838,0.540,6.700,1.463,0
1907,3,5.913,5.739,5.538,4.401,4.392,3.246,2.615,4.177,3.124,2.292,0.201,0.631,0.500,6.570,1.981,0
1907,4,5.974,5.669,5.453,4.310,4.292,3.133,2.539,4.104,3.130,2.320,0.216,0.594,0.470,6.740,1.524,0
1907,5,6.005,5.767,5.428,4.289,4.264,3.100,2.368,4.067,3.399,2.329,0.338,0.732,0.530,6.750,1.189,0
1907,6,6.035,5.825,5.483,4.295,4.295,3.106,2.228,4.027,3.597,2.377,0.341,0.878,0.480,6.720,1.128,0
1907,7,6.005,5.755,5.471,4.282,4.282,3.094,2.158,3.957,3.597,2.377,0.283,0.936,0.500,6.660,1.189,0
