#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-07-27 02:26:32 EDT      (sdww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/wa/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14243000 COWLITZ RIVER AT CASTLE ROCK, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		150500	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14243000	00060	150500	1935	8	3184
USGS	14243000	00060	150500	1935	9	2295
USGS	14243000	00060	150500	1935	10	1828
USGS	14243000	00060	150500	1935	11	2558
USGS	14243000	00060	150500	1935	12	4415
USGS	14243000	00060	150500	1936	1	17380
USGS	14243000	00060	150500	1936	2	8491
USGS	14243000	00060	150500	1936	3	11970
USGS	14243000	00060	150500	1936	4	11720
USGS	14243000	00060	150500	1936	5	16040
USGS	14243000	00060	150500	1936	6	13410
USGS	14243000	00060	150500	1936	7	4658
USGS	14243000	00060	150500	1936	8	2419
USGS	14243000	00060	150500	1936	9	1944
USGS	14243000	00060	150500	1936	10	1578
USGS	14243000	00060	150500	1936	11	1233
USGS	14243000	00060	150500	1936	12	8485
USGS	14243000	00060	150500	1937	1	3891
USGS	14243000	00060	150500	1937	2	8300
USGS	14243000	00060	150500	1937	3	10920
USGS	14243000	00060	150500	1937	4	16540
USGS	14243000	00060	150500	1937	5	14220
USGS	14243000	00060	150500	1937	6	16420
USGS	14243000	00060	150500	1937	7	6321
USGS	14243000	00060	150500	1937	8	2671
USGS	14243000	00060	150500	1937	9	2366
USGS	14243000	00060	150500	1937	10	2433
USGS	14243000	00060	150500	1937	11	18660
USGS	14243000	00060	150500	1937	12	19040
USGS	14243000	00060	150500	1938	1	16870
USGS	14243000	00060	150500	1938	2	8166
USGS	14243000	00060	150500	1938	3	10560
USGS	14243000	00060	150500	1938	4	13640
USGS	14243000	00060	150500	1938	5	12700
USGS	14243000	00060	150500	1938	6	8369
USGS	14243000	00060	150500	1938	7	3828
USGS	14243000	00060	150500	1938	8	2133
USGS	14243000	00060	150500	1938	9	1757
USGS	14243000	00060	150500	1938	10	2213
USGS	14243000	00060	150500	1938	11	6334
USGS	14243000	00060	150500	1938	12	11120
USGS	14243000	00060	150500	1939	1	13010
USGS	14243000	00060	150500	1939	2	12850
USGS	14243000	00060	150500	1939	3	10450
USGS	14243000	00060	150500	1939	4	10130
USGS	14243000	00060	150500	1939	5	10310
USGS	14243000	00060	150500	1939	6	7918
USGS	14243000	00060	150500	1939	7	4580
USGS	14243000	00060	150500	1939	8	2294
USGS	14243000	00060	150500	1939	9	1887
USGS	14243000	00060	150500	1939	10	2016
USGS	14243000	00060	150500	1939	11	2696
USGS	14243000	00060	150500	1939	12	12680
USGS	14243000	00060	150500	1940	1	7887
USGS	14243000	00060	150500	1940	2	17050
USGS	14243000	00060	150500	1940	3	13570
USGS	14243000	00060	150500	1940	4	10330
USGS	14243000	00060	150500	1940	5	10580
USGS	14243000	00060	150500	1940	6	4107
USGS	14243000	00060	150500	1940	7	2313
USGS	14243000	00060	150500	1940	8	1798
USGS	14243000	00060	150500	1940	9	1677
USGS	14243000	00060	150500	1940	10	2172
USGS	14243000	00060	150500	1940	11	5004
USGS	14243000	00060	150500	1940	12	9031
USGS	14243000	00060	150500	1941	1	8537
USGS	14243000	00060	150500	1941	2	5175
USGS	14243000	00060	150500	1941	3	4822
USGS	14243000	00060	150500	1941	4	4966
USGS	14243000	00060	150500	1941	5	6704
USGS	14243000	00060	150500	1941	6	4396
USGS	14243000	00060	150500	1941	7	2448
USGS	14243000	00060	150500	1941	8	1863
USGS	14243000	00060	150500	1941	9	3430
USGS	14243000	00060	150500	1941	10	5729
USGS	14243000	00060	150500	1941	11	7953
USGS	14243000	00060	150500	1941	12	18560
USGS	14243000	00060	150500	1942	1	6614
USGS	14243000	00060	150500	1942	2	8395
USGS	14243000	00060	150500	1942	3	6017
USGS	14243000	00060	150500	1942	4	7181
USGS	14243000	00060	150500	1942	5	7997
USGS	14243000	00060	150500	1942	6	9720
USGS	14243000	00060	150500	1942	7	4951
USGS	14243000	00060	150500	1942	8	2437
USGS	14243000	00060	150500	1942	9	1697
USGS	14243000	00060	150500	1942	10	1627
USGS	14243000	00060	150500	1942	11	16190
USGS	14243000	00060	150500	1942	12	16170
USGS	14243000	00060	150500	1943	1	9880
USGS	14243000	00060	150500	1943	2	13910
USGS	14243000	00060	150500	1943	3	9289
USGS	14243000	00060	150500	1943	4	16340
USGS	14243000	00060	150500	1943	5	9838
USGS	14243000	00060	150500	1943	6	9990
USGS	14243000	00060	150500	1943	7	6373
USGS	14243000	00060	150500	1943	8	2698
USGS	14243000	00060	150500	1943	9	1951
USGS	14243000	00060	150500	1943	10	2580
USGS	14243000	00060	150500	1943	11	3679
USGS	14243000	00060	150500	1943	12	7965
USGS	14243000	00060	150500	1944	1	7317
USGS	14243000	00060	150500	1944	2	7513
USGS	14243000	00060	150500	1944	3	6464
USGS	14243000	00060	150500	1944	4	7645
USGS	14243000	00060	150500	1944	5	8104
USGS	14243000	00060	150500	1944	6	5953
USGS	14243000	00060	150500	1944	7	2730
USGS	14243000	00060	150500	1944	8	1855
USGS	14243000	00060	150500	1944	9	2086
USGS	14243000	00060	150500	1944	10	2040
USGS	14243000	00060	150500	1944	11	4229
USGS	14243000	00060	150500	1944	12	5651
USGS	14243000	00060	150500	1945	1	12390
USGS	14243000	00060	150500	1945	2	13230
USGS	14243000	00060	150500	1945	3	9818
USGS	14243000	00060	150500	1945	4	9894
USGS	14243000	00060	150500	1945	5	15810
USGS	14243000	00060	150500	1945	6	8012
USGS	14243000	00060	150500	1945	7	3659
USGS	14243000	00060	150500	1945	8	2095
USGS	14243000	00060	150500	1945	9	2591
USGS	14243000	00060	150500	1945	10	2272
USGS	14243000	00060	150500	1945	11	10900
USGS	14243000	00060	150500	1945	12	14710
USGS	14243000	00060	150500	1946	1	17100
USGS	14243000	00060	150500	1946	2	12890
USGS	14243000	00060	150500	1946	3	12140
USGS	14243000	00060	150500	1946	4	10690
USGS	14243000	00060	150500	1946	5	15150
USGS	14243000	00060	150500	1946	6	12640
USGS	14243000	00060	150500	1946	7	8323
USGS	14243000	00060	150500	1946	8	3099
USGS	14243000	00060	150500	1946	9	2084
USGS	14243000	00060	150500	1946	10	4436
USGS	14243000	00060	150500	1946	11	13320
USGS	14243000	00060	150500	1946	12	26760
