Year,CO2_ppm,Source
-531296,199.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-530169,199.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-529712,190.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-529085,193.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-528735,195.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-528066,200,"EPICA Dome C and  Vostok Station,  Antarctica"
-527690,204.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-527151,211.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-526797,214.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-526312,220.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-525504,220.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-524711,221.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-523958,222.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-523214,224.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-522459,227.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-521716,230.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-520973,233.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-520266,235.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-519602,236.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-518942,241.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-517015,243.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-516384,245.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-515756,247.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-515119,245.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-514467,245.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-513821,246.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-513163,247.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-512479,243,"EPICA Dome C and  Vostok Station,  Antarctica"
-511774,241.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-511047,239.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-510319,238.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-509565,242,"EPICA Dome C and  Vostok Station,  Antarctica"
-508815,235.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-508058,236.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-507297,233.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-506526,240.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-505764,237,"EPICA Dome C and  Vostok Station,  Antarctica"
-505061,238.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-504337,236,"EPICA Dome C and  Vostok Station,  Antarctica"
-503566,235.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-502827,233.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-502133,234.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-501425,232.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-500675,232,"EPICA Dome C and  Vostok Station,  Antarctica"
-499916,231.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-499180,230.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-498413,228.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-497660,230.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-496915,230.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-496154,232.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-495416,236.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-494658,236.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-493903,237.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-493135,238.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-492361,238.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-491557,239.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-490788,239.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-490009,243.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-489241,246.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-488495,243.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-487772,242.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-487525,249.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-487046,252.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-486739,240.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-486318,242,"EPICA Dome C and  Vostok Station,  Antarctica"
-485591,237.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-484866,231.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-484093,232.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-483326,233,"EPICA Dome C and  Vostok Station,  Antarctica"
-482515,231.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-481699,231.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-480853,231.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-479982,227.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-479085,223.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-478158,223.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-477194,218.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-476771,220.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-476174,231.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-475769,236.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-475212,239.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-474290,236.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-473268,232.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-472212,233.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-471152,241.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-470145,245.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-469813,243.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-469096,243.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-468647,232.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-467991,229.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-467520,218.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-466860,215.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-466373,206.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-465652,205.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-464315,203.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-462916,204.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-461506,208.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-460183,210,"EPICA Dome C and  Vostok Station,  Antarctica"
-459737,205.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-458842,199.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-457480,194.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-456099,190.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-454641,195.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-453329,202.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-452073,208.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-451564,203.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-450845,204.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-450333,199.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-449643,192.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-448505,193.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-447294,198.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-446153,201.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-445034,204.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-443879,201.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-442700,201.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-441612,208.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-440461,203.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-439270,201.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-437615,199.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-436406,202,"EPICA Dome C and  Vostok Station,  Antarctica"
-435202,201.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-434039,201.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-432854,200.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-431724,207.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-430649,209.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-429495,207.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-429113,211.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-427926,227.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-427056,219.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-425616,242.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-425335,248.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-424648,252.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-424025,255.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-423619,265.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-423292,270,"EPICA Dome C and  Vostok Station,  Antarctica"
-422890,270.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-422382,268.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-421814,267.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-420699,270.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-420124,266.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-419534,268.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-418400,273.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-417858,271.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-417310,273.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-416295,274.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-415748,271.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-415241,273.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-414243,271.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-413767,276.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-413013,271.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-411998,264.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-411012,274.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-409121,283.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-408256,282.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-407433,274.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-406650,284.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-405143,285.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-404418,279.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-402977,280.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-402231,276.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-400781,275.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-400050,283.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-398554,283.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-397772,277.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-396136,276.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-392610,260.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-391629,273.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-390594,259.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-389946,266.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-387996,250.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-386112,255.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-384194,259.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-383448,264.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-382584,258.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-380720,245.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-379182,246.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-377746,239.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-376146,240,"EPICA Dome C and  Vostok Station,  Antarctica"
-374618,227,"EPICA Dome C and  Vostok Station,  Antarctica"
-370696,229.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-369140,224.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-367496,214.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-365906,199.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-364285,201.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-361435,206.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-359007,201.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-356762,185.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-354948,186.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-353352,193,"EPICA Dome C and  Vostok Station,  Antarctica"
-350325,209.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-348975,209.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-347738,216.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-346348,221.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-344030,220.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-342496,211.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-341332,204.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-339852,205.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-338506,200.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-337348,250.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-335441,234.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-334775,239.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-333968,241.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-333337,255.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-332798,270.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-332311,278.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-331940,285.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-331430,278.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-330969,298.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-330512,288.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-330335,289.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-329994,282.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-329488,273.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-328790,272.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-328258,271.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-327525,265,"EPICA Dome C and  Vostok Station,  Antarctica"
-326271,275.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-325640,271.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-325022,270.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-324371,266.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-323770,264,"EPICA Dome C and  Vostok Station,  Antarctica"
-323021,266.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-322330,260.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-321576,260.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-320817,260.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-320065,257.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-318408,249.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-317530,255.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-316609,233.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-315784,245.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-314947,251.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-314250,272.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-313622,246.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-312917,257.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-312194,256.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-311464,251.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-310726,241.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-309918,239,"EPICA Dome C and  Vostok Station,  Antarctica"
-309063,237.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-308218,233.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-307439,226.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-306794,227.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-305545,225.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-304597,244.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-303705,248.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-302951,250.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-302282,240.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-301276,240.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-300330,236,"EPICA Dome C and  Vostok Station,  Antarctica"
-299452,239,"EPICA Dome C and  Vostok Station,  Antarctica"
-298522,236.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-297671,231,"EPICA Dome C and  Vostok Station,  Antarctica"
-296791,224.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-295971,217.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-293980,213.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-292618,212.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-291829,206.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-291107,206,"EPICA Dome C and  Vostok Station,  Antarctica"
-290455,207.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-289417,217.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-288780,220.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-288203,234.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-286283,231,"EPICA Dome C and  Vostok Station,  Antarctica"
-285588,230.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-285086,231.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-284178,226.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-283430,228,"EPICA Dome C and  Vostok Station,  Antarctica"
-281835,231.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-279808,223.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-278319,215.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-277370,211,"EPICA Dome C and  Vostok Station,  Antarctica"
-276400,204.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-275411,202.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-274376,193.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-273400,198.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-272371,194.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-271360,193.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-270361,190.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-269306,184.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-268272,198.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-267204,194.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-266231,187.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-265492,188.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-264376,211.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-263703,199.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-262559,228.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-260980,214.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-260142,208.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-258966,205.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-258403,209.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-256711,203.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-255150,204,"EPICA Dome C and  Vostok Station,  Antarctica"
-254359,201.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-253548,199,"EPICA Dome C and  Vostok Station,  Antarctica"
-251686,195.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-250789,196.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-249914,195.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-249055,213.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-248183,200.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-245731,214.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-243491,219.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-242914,230.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-242397,236.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-241906,249.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-241479,252.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-241121,263.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-240396,280.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-240057,279,"EPICA Dome C and  Vostok Station,  Antarctica"
-239416,263.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-238995,259.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-238023,252.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-237527,247.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-237063,245.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-236608,245.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-235918,239.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-235344,243.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-234784,247.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-234164,241.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-233530,252.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-232867,245.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-229116,241.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-228472,233.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-227473,232.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-225826,224.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-225077,233.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-224761,234.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-223959,235.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-222973,215.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-222319,203.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-220080,205.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-218789,208.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-218108,207.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-217166,216.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-216411,214.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-214402,240.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-213432,245.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-212844,251.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-212509,251.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-212034,247.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-211586,242.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-211320,240.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-210766,241.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-209908,251.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-208863,243.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-208204,257.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-207867,239.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-207482,246.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-207045,252,"EPICA Dome C and  Vostok Station,  Antarctica"
-206853,247.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-206304,243.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-206114,244.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-205594,242.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-205170,240.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-204860,230,"EPICA Dome C and  Vostok Station,  Antarctica"
-204194,237.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-204002,238.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-203412,231.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-202958,229.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-202530,226.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-201887,228.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-201367,232.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-200924,231.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-200463,244.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-199213,247.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-197968,239.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-197022,250.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-194229,242.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-193723,241.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-193067,226.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-191531,220,"EPICA Dome C and  Vostok Station,  Antarctica"
-190960,226.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-188402,218,"EPICA Dome C and  Vostok Station,  Antarctica"
-187126,220.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-186486,231.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-184747,231.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-182735,210.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-180096,203.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-178118,199.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-177167,198.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-176229,217.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-175189,213.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-173356,207.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-171444,190.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-171185,189.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-170484,190.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-169401,196,"EPICA Dome C and  Vostok Station,  Antarctica"
-167542,197.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-165233,197.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-162489,196.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-161748,183.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-161074,186.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-160278,190.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-159729,191.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-157993,196.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-157612,204.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-153863,187.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-153445,185.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-152530,189,"EPICA Dome C and  Vostok Station,  Antarctica"
-149473,200.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-147971,188.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-147853,191.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-146881,203,"EPICA Dome C and  Vostok Station,  Antarctica"
-143413,196.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-140108,190.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-139010,196.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-138949,195.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-137667,196.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-137325,192.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-136235,190.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-136032,194.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-135683,193.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-135343,194.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-134705,201.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-134617,195.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-134301,202.4,"EPICA Dome C and  Vostok Station,  Antarctica"
