#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-11-11 13:13:13 EST      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12150800 SNOHOMISH RIVER NEAR MONROE, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		149182	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12150800	00060	149182	1973	4	6131
USGS	12150800	00060	149182	1973	5	10400
USGS	12150800	00060	149182	1973	6	9326
USGS	12150800	00060	149182	1973	7	3927
USGS	12150800	00060	149182	1973	8	1811
USGS	12150800	00060	149182	1973	9	2473
USGS	12150800	00060	149182	1973	10	6349
USGS	12150800	00060	149182	1973	11	10760
USGS	12150800	00060	149182	1973	12	15410
USGS	12150800	00060	149182	1974	1	21890
USGS	12150800	00060	149182	1974	2	10890
USGS	12150800	00060	149182	1974	3	12310
USGS	12150800	00060	149182	1974	4	11890
USGS	12150800	00060	149182	1974	5	15040
USGS	12150800	00060	149182	1974	6	24730
USGS	12150800	00060	149182	1974	7	14940
USGS	12150800	00060	149182	1974	8	6285
USGS	12150800	00060	149182	1974	9	2801
USGS	12150800	00060	149182	1974	10	1495
USGS	12150800	00060	149182	1974	11	8013
USGS	12150800	00060	149182	1974	12	13790
USGS	12150800	00060	149182	1975	1	16750
USGS	12150800	00060	149182	1975	2	8122
USGS	12150800	00060	149182	1975	3	8078
USGS	12150800	00060	149182	1975	4	5340
USGS	12150800	00060	149182	1975	5	14850
USGS	12150800	00060	149182	1975	6	16080
USGS	12150800	00060	149182	1975	7	10250
USGS	12150800	00060	149182	1975	8	4523
USGS	12150800	00060	149182	1975	9	3114
USGS	12150800	00060	149182	1975	10	8761
USGS	12150800	00060	149182	1975	11	19360
USGS	12150800	00060	149182	1975	12	29580
USGS	12150800	00060	149182	1976	1	18170
USGS	12150800	00060	149182	1976	2	8630
USGS	12150800	00060	149182	1976	3	6619
USGS	12150800	00060	149182	1976	4	9991
USGS	12150800	00060	149182	1976	5	16040
USGS	12150800	00060	149182	1976	6	13290
USGS	12150800	00060	149182	1976	7	11040
USGS	12150800	00060	149182	1976	8	6224
USGS	12150800	00060	149182	1976	9	3667
USGS	12150800	00060	149182	1976	10	2823
USGS	12150800	00060	149182	1976	11	6024
USGS	12150800	00060	149182	1976	12	8430
USGS	12150800	00060	149182	1977	1	9265
USGS	12150800	00060	149182	1977	2	5831
USGS	12150800	00060	149182	1977	3	7248
USGS	12150800	00060	149182	1977	4	10370
USGS	12150800	00060	149182	1977	5	9748
USGS	12150800	00060	149182	1977	6	8645
USGS	12150800	00060	149182	1977	7	2960
USGS	12150800	00060	149182	1977	8	2999
USGS	12150800	00060	149182	1977	9	4621
USGS	12150800	00060	149182	1977	10	4456
USGS	12150800	00060	149182	1977	11	18380
USGS	12150800	00060	149182	1977	12	25040
USGS	12150800	00060	149182	1978	1	8186
USGS	12150800	00060	149182	1978	2	7195
USGS	12150800	00060	149182	1978	3	8177
USGS	12150800	00060	149182	1978	4	8366
USGS	12150800	00060	149182	1978	5	10520
USGS	12150800	00060	149182	1978	6	9530
USGS	12150800	00060	149182	1978	7	4485
USGS	12150800	00060	149182	1978	8	3082
USGS	12150800	00060	149182	1978	9	7646
USGS	12150800	00060	149182	1978	10	3271
USGS	12150800	00060	149182	1978	11	9283
USGS	12150800	00060	149182	1978	12	9175
USGS	12150800	00060	149182	1979	1	4401
USGS	12150800	00060	149182	1979	2	10610
USGS	12150800	00060	149182	1979	3	12280
USGS	12150800	00060	149182	1979	4	9209
USGS	12150800	00060	149182	1979	5	13440
USGS	12150800	00060	149182	1979	6	9225
USGS	12150800	00060	149182	1979	7	5441
USGS	12150800	00060	149182	1979	8	1839
USGS	12150800	00060	149182	1979	9	1984
USGS	12150800	00060	149182	1979	10	3275
USGS	12150800	00060	149182	1979	11	2823
USGS	12150800	00060	149182	1979	12	23360
USGS	12150800	00060	149182	1980	1	7283
USGS	12150800	00060	149182	1980	2	9556
USGS	12150800	00060	149182	1980	3	8890
USGS	12150800	00060	149182	1980	4	12250
USGS	12150800	00060	149182	1980	5	10310
USGS	12150800	00060	149182	1980	6	8755
USGS	12150800	00060	149182	1980	7	4743
USGS	12150800	00060	149182	1980	8	2712
USGS	12150800	00060	149182	1980	9	5656
USGS	12150800	00060	149182	1980	10	2778
USGS	12150800	00060	149182	1980	11	15620
USGS	12150800	00060	149182	1980	12	23160
USGS	12150800	00060	149182	1981	1	6980
USGS	12150800	00060	149182	1981	2	16230
USGS	12150800	00060	149182	1981	3	5449
USGS	12150800	00060	149182	1981	4	13800
USGS	12150800	00060	149182	1981	5	11830
USGS	12150800	00060	149182	1981	6	13870
USGS	12150800	00060	149182	1981	7	4997
USGS	12150800	00060	149182	1981	8	2073
USGS	12150800	00060	149182	1981	9	3089
USGS	12150800	00060	149182	1981	10	8914
USGS	12150800	00060	149182	1981	11	7588
USGS	12150800	00060	149182	1981	12	11160
USGS	12150800	00060	149182	1982	1	13950
USGS	12150800	00060	149182	1982	2	24300
USGS	12150800	00060	149182	1982	3	11010
USGS	12150800	00060	149182	1982	4	7905
USGS	12150800	00060	149182	1982	5	12900
USGS	12150800	00060	149182	1982	6	15860
USGS	12150800	00060	149182	1982	7	8941
USGS	12150800	00060	149182	1982	8	3285
USGS	12150800	00060	149182	1982	9	3928
USGS	12150800	00060	149182	1982	10	5292
USGS	12150800	00060	149182	1982	11	7865
USGS	12150800	00060	149182	1982	12	13640
USGS	12150800	00060	149182	1983	1	18250
USGS	12150800	00060	149182	1983	2	9100
USGS	12150800	00060	149182	1983	3	9827
USGS	12150800	00060	149182	1983	4	7596
USGS	12150800	00060	149182	1983	5	10330
