agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,12189500,00060,149390,1911,4,2685
USGS,12189500,00060,149390,1911,5,5495
USGS,12189500,00060,149390,1911,6,8516
USGS,12189500,00060,149390,1911,7,5629
USGS,12189500,00060,149390,1911,8,2363
USGS,12189500,00060,149390,1911,9,2350
USGS,12189500,00060,149390,1911,10,1104
USGS,12189500,00060,149390,1911,11,5323
USGS,12189500,00060,149390,1911,12,3170
USGS,12189500,00060,149390,1912,1,4001
USGS,12189500,00060,149390,1912,2,4430
USGS,12189500,00060,149390,1912,3,1520
USGS,12189500,00060,149390,1912,4,2408
USGS,12189500,00060,149390,1912,5,6762
USGS,12189500,00060,149390,1912,6,9578
USGS,12189500,00060,149390,1912,7,5178
USGS,12189500,00060,149390,1928,8,1998
USGS,12189500,00060,149390,1928,9,1411
USGS,12189500,00060,149390,1928,10,3488
USGS,12189500,00060,149390,1928,11,1981
USGS,12189500,00060,149390,1928,12,1928
USGS,12189500,00060,149390,1929,1,1275
USGS,12189500,00060,149390,1929,2,793.2
USGS,12189500,00060,149390,1929,3,2185
USGS,12189500,00060,149390,1929,4,2629
USGS,12189500,00060,149390,1929,5,6650
USGS,12189500,00060,149390,1929,6,7807
USGS,12189500,00060,149390,1929,7,4453
USGS,12189500,00060,149390,1929,8,2206
USGS,12189500,00060,149390,1929,9,1225
USGS,12189500,00060,149390,1929,10,993.5
USGS,12189500,00060,149390,1929,11,724.4
USGS,12189500,00060,149390,1929,12,2294
USGS,12189500,00060,149390,1930,1,1306
USGS,12189500,00060,149390,1930,2,5620
USGS,12189500,00060,149390,1930,3,2963
USGS,12189500,00060,149390,1930,4,5260
USGS,12189500,00060,149390,1930,5,4584
USGS,12189500,00060,149390,1930,6,5667
USGS,12189500,00060,149390,1930,7,4135
USGS,12189500,00060,149390,1930,8,1959
USGS,12189500,00060,149390,1930,9,1404
USGS,12189500,00060,149390,1930,10,2089
USGS,12189500,00060,149390,1930,11,1701
USGS,12189500,00060,149390,1930,12,1740
USGS,12189500,00060,149390,1931,1,4301
USGS,12189500,00060,149390,1931,2,3391
USGS,12189500,00060,149390,1931,3,4053
USGS,12189500,00060,149390,1931,4,4253
USGS,12189500,00060,149390,1931,5,6826
USGS,12189500,00060,149390,1931,6,7234
USGS,12189500,00060,149390,1931,7,3699
USGS,12189500,00060,149390,1931,8,1816
USGS,12189500,00060,149390,1931,9,2145
USGS,12189500,00060,149390,1931,10,1994
USGS,12189500,00060,149390,1931,11,3731
USGS,12189500,00060,149390,1931,12,3109
USGS,12189500,00060,149390,1932,1,3043
USGS,12189500,00060,149390,1932,2,6090
USGS,12189500,00060,149390,1932,3,5695
USGS,12189500,00060,149390,1932,4,5511
USGS,12189500,00060,149390,1932,5,6754
USGS,12189500,00060,149390,1932,6,8993
USGS,12189500,00060,149390,1932,7,6040
USGS,12189500,00060,149390,1932,8,2966
USGS,12189500,00060,149390,1932,9,1705
USGS,12189500,00060,149390,1932,10,2825
